game_state_id;game_id;time_elapsed;score;lives;pacman_attack;Pacman_X;Pacman_Y;Ghost1_X;Ghost1_Y;Ghost2_X;Ghost2_Y;Ghost3_X;Ghost3_Y;Ghost4_X;Ghost4_Y;ghost1_state;ghost2_state;ghost3_state;ghost4_state;powerPellets;pellets;powerpelletstate_1;powerpelletstate_2;powerpelletstate_3;powerpelletstate_4
1;1;0.48955345153808594;0;3;0;0;-9.4989032745361;-1.4996244907379;4.5478219985962;-2;-1.5152457952499;0;0.51524585485458;2;-1.5152457952499;1;0;0;0;4;244;0;0;0;0
2;1;0.7386307716369629;0;3;0;0;-9.4989032745361;-2.2821152210236;5.5003061294556;-2;0.16475407779217;0;-1.1647540330887;2;0.16475407779217;1;0;0;0;4;244;0;0;0;0
3;1;0.9895963668823242;0;3;0;0;-9.4989032745361;-4.0889625549316;5.5036854743958;-2;-0.74147146940231;0;-0.25852859020233;2;-0.74147146940231;1;0;0;0;4;244;0;0;0;0
4;1;1.2384824752807617;10;3;0;1.4314215183258;-9.4956731796265;-4.5005431175232;6.6809372901917;-2;-0.8176680803299;0;-0.18233203887939;2;-0.8176680803299;1;0;0;0;4;243;0;0;0;0
5;1;1.4892148971557617;30;3;0;1.4994156360626;-7.4776964187622;-4.4996776580811;8.4805583953857;-2;0.23789350688457;0;-1.2378935813904;2;0.23789350688457;1;0;0;0;4;241;0;0;0;0
6;1;1.7396745681762695;50;3;0;2.4615497589111;-6.4999146461487;-2.8248500823975;8.5006885528564;-2;-1.4421063661575;0;0.44210630655289;2;-1.4421063661575;1;0;0;0;4;239;0;0;0;0
7;1;1.990377426147461;70;3;0;4.5059814453125;-6.4994487762451;-1.0048376321793;8.5039663314819;-2;0.022165447473526;0;-1.0221655368805;2;0.022165447473526;1;0;1;0;4;237;0;0;0;0
8;1;2.2401466369628906;70;3;0;4.5027475357056;-4.6368808746338;0.66557216644287;8.5005970001221;-2;-0.46215003728867;0;-0.76093780994415;2;-0.46215003728867;1;0;1;0;4;237;0;0;0;0
9;1;2.4893922805786133;70;3;0;4.4997291564941;-2.571151971817;1.5012594461441;9.4579448699951;-2;-0.95784592628479;0;-0.50039160251617;2;-0.95784592628479;1;0;1;0;4;237;0;0;0;0
10;1;2.7394371032714844;70;3;0;4.4973959922791;-0.75819790363312;1.4994486570358;11.14847278595;-2;0.51784688234329;0;-0.5;2;0.51784688234329;1;0;1;0;4;237;0;0;0;0
11;1;2.9902544021606445;70;3;0;6.3312253952026;-0.50034791231155;2.0138101577759;12.517864227295;-2;-1.3021529912949;0;-0.5;2;-1.3021529912949;1;0;1;0;4;237;0;0;0;0
12;1;3.2394847869873047;90;3;0;7.4979057312012;0.27293014526367;3.6934390068054;12.50057220459;-2;-0.2578467130661;0;0.24199436604977;2;-0.2578467130661;1;0;1;0;4;235;0;0;0;0
13;1;3.489590644836426;110;3;0;7.4952321052551;2.2354679107666;5.4743156433105;12.502326965332;-2;-0.3221532702446;0;0.99014735221863;2;-0.3221532702446;1;0;1;0;4;233;0;0;0;0
14;1;3.739999771118164;130;3;0;7.4984440803528;4.1740212440491;7.1660404205322;12.499274253845;-2;-1.2378467321396;0;1.7435054779053;2;-1.2378467321396;1;0;1;0;4;231;0;0;0;0
15;1;3.990020751953125;150;3;0;7.5025062561035;6.1754312515259;8.986044883728;12.500347137451;-2;0.58215314149857;0;2.4937813282013;2;0.58215314149857;1;0;1;0;4;229;0;0;0;0
16;1;4.238868713378906;170;3;0;7.5005745887756;8.0856561660767;10.644995689392;12.500605583191;-2;-1.0221532583237;1.6781480312347;2.5036776065826;2;-1.0221532583237;1;0;1;0;4;227;0;0;0;0
17;1;4.488557815551758;180;3;0;7.500560760498;8.2456560134888;12.407473564148;12.49783039093;-2;-0.39784681797028;3.3787381649017;2.5031855106354;2;-0.39784681797028;1;0;1;0;4;226;0;0;0;0
18;1;4.739664077758789;180;3;0;7.5006756782532;7.4427862167358;12.500651359558;10.867569923401;-2;-0.042153283953667;4.5116510391235;1.9405959844589;2;-0.042153283953667;1;0;1;0;4;226;0;0;0;0
19;1;4.988506317138672;180;3;0;7.500560760498;9.5227842330933;12.500573158264;9.0582427978516;-2;-1.3778467178345;4.5004053115845;0.16063480079174;2;-1.3778467178345;1;0;1;0;4;226;0;0;0;0
20;1;5.239459037780762;200;3;0;7.5006995201111;11.421522140503;11.380171775818;8.4983711242676;-2;0.3021531701088;5.5690751075745;-0.50142079591751;2;0.3021531701088;1;0;1;0;4;224;0;0;0;0
21;1;5.488673210144043;200;3;0;7.5006275177002;9.3972854614258;9.6053400039673;8.500636100769;-2;-0.88215321302414;7.387327671051;-0.49947446584702;2;-0.88215321302414;1;0;1;0;4;224;0;0;0;0
